date,relative_humidity,pressure_mb
"2022-01-01 01:00:00",100,798.60
"2022-01-01 07:00:00",63,798.70
"2022-01-01 13:00:00",100,796.40
"2022-01-01 19:00:00",100,795.71
"2022-01-02 01:00:00",100,793.39
"2022-01-02 07:00:00",100,791.03
"2022-01-02 13:00:00",100,788.90
"2022-01-02 19:00:00",100,791.14
"2022-01-03 01:00:00",71,793.87
"2022-01-03 07:00:00",37,797.13
"2022-01-03 13:00:00",29,797.00
"2022-01-03 19:00:00",45,796.49
"2022-01-04 01:00:00",53,796.36
"2022-01-04 07:00:00",83,798.54
"2022-01-04 13:00:00",100,799.81
"2022-01-04 19:00:00",77,803.20
"2022-01-05 01:00:00",58,803.68
"2022-01-05 07:00:00",58,799.15
"2022-01-05 13:00:00",100,794.52
"2022-01-05 19:00:00",100,790.98
"2022-01-06 01:00:00",100,788.80
"2022-01-06 07:00:00",100,787.35
"2022-01-06 13:00:00",100,788.84
"2022-01-06 19:00:00",100,792.64
"2022-01-07 01:00:00",100,792.44
"2022-01-07 07:00:00",100,788.61
"2022-01-07 13:00:00",100,785.57
"2022-01-07 19:00:00",100,788.18
"2022-01-08 01:00:00",100,792.20
"2022-01-08 07:00:00",83,800.74
"2022-01-08 13:00:00",26,805.68
"2022-01-08 19:00:00",21,808.24
"2022-01-09 01:00:00",29,807.17
"2022-01-09 07:00:00",100,803.08
"2022-01-09 13:00:00",100,796.14
"2022-01-09 19:00:00",100,793.20
"2022-01-10 01:00:00",100,790.15
"2022-01-10 07:00:00",100,788.72
"2022-01-10 13:00:00",100,788.75
"2022-01-10 19:00:00",100,789.12
"2022-01-11 01:00:00",100,788.67
"2022-01-11 07:00:00",64,792.19
"2022-01-11 13:00:00",69,796.31
"2022-01-11 19:00:00",46,798.83
"2022-01-12 01:00:00",38,798.26
"2022-01-12 07:00:00",65,795.00
"2022-01-12 13:00:00",100,792.94
"2022-01-12 19:00:00",100,796.03
"2022-01-13 01:00:00",100,796.74
"2022-01-13 07:00:00",100,797.01
"2022-01-13 13:00:00",100,797.38
"2022-01-13 19:00:00",100,797.86
"2022-01-14 01:00:00",100,796.22
"2022-01-14 07:00:00",100,795.86
"2022-01-14 13:00:00",77,794.64
"2022-01-14 19:00:00",49,791.59
"2022-01-15 01:00:00",37,787.96
"2022-01-15 07:00:00",30,790.28
"2022-01-15 13:00:00",17,792.02
"2022-01-15 19:00:00",45,795.97
"2022-01-16 01:00:00",36,798.30
"2022-01-16 07:00:00",21,801.08
"2022-01-16 13:00:00",37,801.56
"2022-01-16 19:00:00",20,800.82
"2022-01-17 01:00:00",100,797.73
"2022-01-17 07:00:00",100,788.87
"2022-01-17 13:00:00",100,773.04
"2022-01-17 19:00:00",100,772.57
"2022-01-18 01:00:00",100,773.53
"2022-01-18 07:00:00",100,777.66
"2022-01-18 13:00:00",100,781.57
"2022-01-18 19:00:00",100,788.06
"2022-01-19 01:00:00",34,793.47
"2022-01-19 07:00:00",100,795.89
"2022-01-19 13:00:00",100,793.73
"2022-01-19 19:00:00",100,794.13
"2022-01-20 01:00:00",100,794.55
"2022-01-20 07:00:00",100,793.91
"2022-01-20 13:00:00",86,795.50
"2022-01-20 19:00:00",67,798.33
"2022-01-21 01:00:00",66,799.89
"2022-01-21 07:00:00",38,801.98
"2022-01-21 13:00:00",53,802.94
"2022-01-21 19:00:00",23,805.06
"2022-01-22 01:00:00",26,804.25
"2022-01-22 07:00:00",24,802.42
"2022-01-22 13:00:00",30,799.25
"2022-01-22 19:00:00",31,795.30
"2022-01-23 01:00:00",54,790.04
"2022-01-23 07:00:00",100,787.87
"2022-01-23 13:00:00",100,785.31
"2022-01-23 19:00:00",100,785.66
"2022-01-24 01:00:00",100,785.14
"2022-01-24 07:00:00",63,786.87
"2022-01-24 13:00:00",43,787.55
"2022-01-24 19:00:00",27,789.07
"2022-01-25 01:00:00",100,789.13
"2022-01-25 07:00:00",100,789.61
"2022-01-25 13:00:00",100,791.04
"2022-01-25 19:00:00",100,793.04
"2022-01-26 01:00:00",100,792.58
"2022-01-26 07:00:00",90,793.85
"2022-01-26 13:00:00",58,794.86
"2022-01-26 19:00:00",76,797.76
"2022-01-27 01:00:00",65,799.89
"2022-01-27 07:00:00",28,801.26
"2022-01-27 13:00:00",31,799.30
"2022-01-27 19:00:00",69,797.91
"2022-01-28 01:00:00",100,795.54
"2022-01-28 07:00:00",100,795.30
"2022-01-28 13:00:00",100,795.62
"2022-01-28 19:00:00",100,797.03
"2022-01-29 01:00:00",100,795.34
"2022-01-29 07:00:00",100,790.96
"2022-01-29 13:00:00",100,783.33
"2022-01-29 19:00:00",100,777.02
"2022-01-30 01:00:00",100,777.78
"2022-01-30 07:00:00",33,781.56
"2022-01-30 13:00:00",78,785.55
"2022-01-30 19:00:00",100,789.01
"2022-01-31 01:00:00",100,792.08
"2022-01-31 07:00:00",100,795.72
"2022-01-31 13:00:00",100,799.57
"2022-01-31 19:00:00",100,803.83
"2022-02-01 01:00:00",75,806.51
"2022-02-01 07:00:00",70,809.01
"2022-02-01 13:00:00",59,810.00
"2022-02-01 19:00:00",83,811.31
"2022-02-02 01:00:00",100,809.89
"2022-02-02 07:00:00",52,810.74
"2022-02-02 13:00:00",57,810.96
"2022-02-02 19:00:00",58,809.05
"2022-02-03 01:00:00",63,806.26
"2022-02-03 07:00:00",100,806.21
"2022-02-03 13:00:00",100,805.63
"2022-02-03 19:00:00",100,805.82
"2022-02-04 01:00:00",100,802.43
"2022-02-04 07:00:00",100,798.31
"2022-02-04 13:00:00",100,795.37
"2022-02-04 19:00:00",70,794.33
"2022-02-05 01:00:00",100,791.62
"2022-02-05 07:00:00",100,790.49
"2022-02-05 13:00:00",82,792.49
"2022-02-05 19:00:00",47,798.19
"2022-02-06 01:00:00",40,802.20
"2022-02-06 07:00:00",35,804.93
"2022-02-06 13:00:00",51,806.21
"2022-02-06 19:00:00",24,807.63
"2022-02-07 01:00:00",36,806.83
"2022-02-07 07:00:00",56,806.07
"2022-02-07 13:00:00",100,803.64
"2022-02-07 19:00:00",100,804.70
"2022-02-08 01:00:00",100,801.35
"2022-02-08 07:00:00",100,796.80
"2022-02-08 13:00:00",100,792.87
"2022-02-08 19:00:00",100,791.81
"2022-02-09 01:00:00",100,791.57
"2022-02-09 07:00:00",86,795.31
"2022-02-09 13:00:00",46,797.86
"2022-02-09 19:00:00",68,799.00
"2022-02-10 01:00:00",84,797.20
"2022-02-10 07:00:00",100,794.48
"2022-02-10 13:00:00",100,790.57
"2022-02-10 19:00:00",100,792.11
"2022-02-11 01:00:00",100,793.00
"2022-02-11 07:00:00",100,795.33
"2022-02-11 13:00:00",75,796.04
"2022-02-11 19:00:00",86,796.94
"2022-02-12 01:00:00",96,795.45
"2022-02-12 07:00:00",100,796.76
"2022-02-12 13:00:00",100,795.38
"2022-02-12 19:00:00",100,797.22
"2022-02-13 01:00:00",100,796.67
"2022-02-13 07:00:00",77,796.67
"2022-02-13 13:00:00",83,795.62
"2022-02-13 19:00:00",100,793.45
"2022-02-14 01:00:00",100,789.61
"2022-02-14 07:00:00",100,787.09
"2022-02-14 13:00:00",100,786.25
"2022-02-14 19:00:00",100,790.46
"2022-02-15 01:00:00",100,794.18
"2022-02-15 07:00:00",100,797.13
"2022-02-15 13:00:00",100,801.07
"2022-02-15 19:00:00",100,806.74
"2022-02-16 01:00:00",73,809.11
"2022-02-16 07:00:00",32,811.18
"2022-02-16 13:00:00",100,808.62
"2022-02-16 19:00:00",76,805.99
"2022-02-17 01:00:00",100,808.71
"2022-02-17 07:00:00",100,805.29
"2022-02-17 13:00:00",100,803.14
"2022-02-17 19:00:00",100,797.93
"2022-02-18 01:00:00",100,788.36
"2022-02-18 07:00:00",100,781.27
"2022-02-18 13:00:00",100,783.52
"2022-02-18 19:00:00",100,788.69
"2022-02-19 01:00:00",30,791.03
"2022-02-19 07:00:00",58,790.56
"2022-02-19 13:00:00",100,786.51
"2022-02-19 19:00:00",100,786.93
"2022-02-20 01:00:00",100,791.80
"2022-02-20 07:00:00",59,796.87
"2022-02-20 13:00:00",54,800.13
"2022-02-20 19:00:00",86,799.37
"2022-02-21 01:00:00",82,801.71
"2022-02-21 07:00:00",90,803.61
"2022-02-21 13:00:00",100,807.17
"2022-02-21 19:00:00",100,810.54
"2022-02-22 01:00:00",87,811.72
"2022-02-22 07:00:00",88,811.93
"2022-02-22 13:00:00",95,810.14
"2022-02-22 19:00:00",100,805.60
"2022-02-23 01:00:00",100,800.38
"2022-02-23 07:00:00",100,798.68
"2022-02-23 13:00:00",100,796.43
"2022-02-23 19:00:00",100,794.54
"2022-02-24 01:00:00",82,798.94
"2022-02-24 07:00:00",39,801.88
"2022-02-24 13:00:00",16,804.49
"2022-02-24 19:00:00",46,805.85
"2022-02-25 01:00:00",70,804.84
"2022-02-25 07:00:00",100,799.12
"2022-02-25 13:00:00",100,793.23
"2022-02-25 19:00:00",100,795.62
"2022-02-26 01:00:00",100,798.57
"2022-02-26 07:00:00",33,799.80
"2022-02-26 13:00:00",30,799.20
"2022-02-26 19:00:00",100,797.28
"2022-02-27 01:00:00",100,793.84
"2022-02-27 07:00:00",100,790.16
"2022-02-27 13:00:00",100,787.04
"2022-02-27 19:00:00",100,787.35
"2022-02-28 01:00:00",100,786.92
"2022-02-28 07:00:00",100,788.99
"2022-02-28 13:00:00",100,793.17
"2022-02-28 19:00:00",78,797.71
"2022-03-01 01:00:00",74,799.70
"2022-03-01 07:00:00",41,799.34
"2022-03-01 13:00:00",100,796.16
"2022-03-01 19:00:00",100,795.08
"2022-03-02 01:00:00",100,792.84
"2022-03-02 07:00:00",100,792.41
"2022-03-02 13:00:00",100,792.01
"2022-03-02 19:00:00",100,792.54
"2022-03-03 01:00:00",100,790.97
"2022-03-03 07:00:00",100,789.58
"2022-03-03 13:00:00",100,789.93
"2022-03-03 19:00:00",100,793.86
"2022-03-04 01:00:00",100,796.64
"2022-03-04 07:00:00",56,800.69
"2022-03-04 13:00:00",53,801.03
"2022-03-04 19:00:00",100,802.54
"2022-03-05 01:00:00",100,804.46
"2022-03-05 07:00:00",100,804.63
"2022-03-05 13:00:00",27,807.78
"2022-03-05 19:00:00",11,808.39
"2022-03-06 01:00:00",91,805.80
"2022-03-06 07:00:00",96,802.48
"2022-03-06 13:00:00",100,798.91
"2022-03-06 19:00:00",82,797.72
"2022-03-07 01:00:00",100,796.15
"2022-03-07 07:00:00",100,798.48
"2022-03-07 13:00:00",100,794.83
"2022-03-07 19:00:00",100,790.39
"2022-03-08 01:00:00",100,784.98
"2022-03-08 07:00:00",100,787.57
"2022-03-08 13:00:00",100,793.78
"2022-03-08 19:00:00",74,797.81
"2022-03-09 01:00:00",37,800.27
"2022-03-09 07:00:00",88,799.62
"2022-03-09 13:00:00",90,797.66
"2022-03-09 19:00:00",90,796.48
"2022-03-10 01:00:00",100,797.68
"2022-03-10 07:00:00",100,799.10
"2022-03-10 13:00:00",81,801.34
"2022-03-10 19:00:00",72,801.18
"2022-03-11 01:00:00",100,801.18
"2022-03-11 07:00:00",100,800.82
"2022-03-11 13:00:00",100,800.42
"2022-03-11 19:00:00",100,797.65
"2022-03-12 01:00:00",100,794.73
"2022-03-12 07:00:00",100,788.30
"2022-03-12 13:00:00",100,777.29
"2022-03-12 19:00:00",100,772.02
"2022-03-13 01:00:00",100,774.55
"2022-03-13 07:00:00",100,784.31
"2022-03-13 13:00:00",100,790.89
"2022-03-13 19:00:00",100,794.33
"2022-03-14 01:00:00",100,798.26
"2022-03-14 07:00:00",100,801.02
"2022-03-14 13:00:00",100,804.17
"2022-03-14 19:00:00",100,805.44
"2022-03-15 01:00:00",100,805.29
"2022-03-15 07:00:00",100,804.77
"2022-03-15 13:00:00",66,805.69
"2022-03-15 19:00:00",100,804.09
"2022-03-16 01:00:00",100,802.96
"2022-03-16 07:00:00",87,804.17
"2022-03-16 13:00:00",74,806.01
"2022-03-16 19:00:00",73,807.46
"2022-03-17 01:00:00",76,807.44
"2022-03-17 07:00:00",100,807.23
"2022-03-17 13:00:00",73,805.28
"2022-03-17 19:00:00",89,803.93
"2022-03-18 01:00:00",97,802.59
"2022-03-18 07:00:00",100,803.47
"2022-03-18 13:00:00",100,805.01
"2022-03-18 19:00:00",86,806.23
"2022-03-19 01:00:00",97,806.54
"2022-03-19 07:00:00",100,804.97
"2022-03-19 13:00:00",100,802.41
"2022-03-19 19:00:00",100,798.27
"2022-03-20 01:00:00",100,795.04
"2022-03-20 07:00:00",100,793.88
"2022-03-20 13:00:00",100,793.66
"2022-03-20 19:00:00",100,793.41
"2022-03-21 01:00:00",100,793.70
"2022-03-21 07:00:00",100,794.47
"2022-03-21 13:00:00",100,794.82
"2022-03-21 19:00:00",100,797.44
"2022-03-22 01:00:00",100,796.13
"2022-03-22 07:00:00",100,794.62
"2022-03-22 13:00:00",100,796.91
"2022-03-22 19:00:00",100,799.86
"2022-03-23 01:00:00",61,801.60
"2022-03-23 07:00:00",61,803.44
"2022-03-23 13:00:00",81,805.21
"2022-03-23 19:00:00",82,806.24
"2022-03-24 01:00:00",100,806.36
"2022-03-24 07:00:00",100,804.99
"2022-03-24 13:00:00",100,804.48
"2022-03-24 19:00:00",100,800.84
"2022-03-25 01:00:00",100,795.26
"2022-03-25 07:00:00",100,789.80
"2022-03-25 13:00:00",100,787.28
"2022-03-25 19:00:00",100,786.64
"2022-03-26 01:00:00",100,784.90
"2022-03-26 07:00:00",100,783.63
"2022-03-26 13:00:00",100,783.00
"2022-03-26 19:00:00",100,783.37
"2022-03-27 01:00:00",100,782.48
"2022-03-27 07:00:00",100,783.08
"2022-03-27 13:00:00",100,783.32
"2022-03-27 19:00:00",100,784.52
"2022-03-28 01:00:00",100,783.24
"2022-03-28 07:00:00",100,781.88
"2022-03-28 13:00:00",100,782.28
"2022-03-28 19:00:00",100,785.21
"2022-03-29 01:00:00",100,788.14
"2022-03-29 07:00:00",100,790.39
