date,dry_bulb,wet_bulb
1/1/2022 1:00,21.6,21.6
1/1/2022 7:00,25.2,22
1/1/2022 13:00,29.4,29.4
1/1/2022 19:00,31,31
1/2/2022 1:00,30,30
1/2/2022 7:00,29.9,29.9
1/2/2022 13:00,26.5,26.5
1/2/2022 19:00,5,5
1/3/2022 1:00,-2,-2.5
1/3/2022 7:00,0.1,-2
1/3/2022 13:00,7.3,3.9
1/3/2022 19:00,1.9,0
1/4/2022 1:00,0.4,-1
1/4/2022 7:00,-2.5,-2.5
1/4/2022 13:00,2.8,2.8
1/4/2022 19:00,13.2,12.3
1/5/2022 1:00,19,16.1
1/5/2022 7:00,16.2,13.6
1/5/2022 13:00,23.4,23.4
1/5/2022 19:00,17.5,17.5
1/6/2022 1:00,16.8,16.8
1/6/2022 7:00,9.3,9.3
1/6/2022 13:00,7,7
1/6/2022 19:00,5.2,5.2
1/7/2022 1:00,6.1,6.1
1/7/2022 7:00,8,8
1/7/2022 13:00,3.9,3.9
1/7/2022 19:00,-0.5,-0.5
1/8/2022 1:00,-11.7,-11.7
1/8/2022 7:00,-2.8,-2.8
1/8/2022 13:00,3,0
1/8/2022 19:00,9.2,5
1/9/2022 1:00,10,6.2
1/9/2022 7:00,21.1,21.1
1/9/2022 13:00,19.1,19.1
1/9/2022 19:00,19.5,19.5
1/10/2022 1:00,6.1,6.1
1/10/2022 7:00,-9.1,-9.1
1/10/2022 13:00,-9.8,-9.8
1/10/2022 19:00,-13.1,-13.1
1/11/2022 1:00,-21.8,-21.8
1/11/2022 7:00,-28.7,-28.8
1/11/2022 13:00,-14.5,-14.7
1/11/2022 19:00,-11.8,-12.7
1/12/2022 1:00,-2.9,-4.7
1/12/2022 7:00,1,0.1
1/12/2022 13:00,4.7,4.7
1/12/2022 19:00,7.9,7.9
1/13/2022 1:00,9,9
1/13/2022 7:00,11.7,11.7
1/13/2022 13:00,16.4,16.4
1/13/2022 19:00,20.3,20.3
1/14/2022 1:00,18.8,18.8
1/14/2022 7:00,17.7,17.7
1/14/2022 13:00,16,14.9
1/14/2022 19:00,-1,-2.5
1/15/2022 1:00,-11,-12.2
1/15/2022 7:00,-15.7,-16.8
1/15/2022 13:00,-13.1,-14.7
1/15/2022 19:00,-8.7,-9.8
1/16/2022 1:00,-7.1,-8.6
1/16/2022 7:00,-1.8,-4.4
1/16/2022 13:00,7.2,4.3
1/16/2022 19:00,6.3,2.5
1/17/2022 1:00,5,5
1/17/2022 7:00,10.1,10.1
1/17/2022 13:00,19.9,19.9
1/17/2022 19:00,16.3,16.3
1/18/2022 1:00,4.4,4.4
1/18/2022 7:00,-7.9,-7.9
1/18/2022 13:00,-11.4,-11.4
1/18/2022 19:00,-19,-19
