time,f_temp,f_wetbulb,relative_humidity
"2022-01-01 00:51:00",24.6,24.6,100
"2022-01-01 01:50:00",23.3,23.3,100
"2022-01-01 02:50:00",23.8,23.8,100
"2022-01-01 03:50:00",23.3,23.3,100
"2022-01-01 04:50:00",22.5,22.5,100
"2022-01-01 05:50:00",21.6,21.6,100
"2022-01-01 06:50:00",20.4,20.4,100
"2022-01-01 07:50:00",21.0,21.0,100
"2022-01-01 08:50:00",21.0,21.0,100
"2022-01-01 09:50:00",20.8,20.5,91
"2022-01-01 10:59:00",25.1,22.2,66
"2022-01-01 11:57:00",25.2,22.0,63
"2022-01-01 12:51:00",24.8,24.8,100
"2022-01-01 13:54:00",25.8,25.8,100
"2022-01-01 14:51:00",27.2,27.2,100
"2022-01-01 15:53:00",27.5,27.5,100
"2022-01-01 16:49:00",28.0,28.0,100
"2022-01-01 17:53:00",29.4,29.4,100
"2022-01-01 18:58:00",32.1,32.1,100
"2022-01-01 19:56:00",31.5,31.5,100
"2022-01-01 20:54:00",31.5,31.5,100
"2022-01-01 21:56:00",31.7,31.7,100
"2022-01-01 22:50:00",31.0,31.0,100
"2022-01-01 23:54:00",31.0,31.0,100
"2022-01-02 00:50:00",31.2,31.2,100
"2022-01-02 01:50:00",31.2,31.2,100
"2022-01-02 02:50:00",30.6,30.6,100
"2022-01-02 03:51:00",29.5,29.5,100
"2022-01-02 04:50:00",30.0,30.0,100
"2022-01-02 05:50:00",30.0,30.0,100
"2022-01-02 06:50:00",29.8,29.8,100
"2022-01-02 07:53:00",29.0,29.0,100
"2022-01-02 08:51:00",29.4,29.4,100
"2022-01-02 09:50:00",29.8,29.8,100
"2022-01-02 10:56:00",30.1,30.1,100
"2022-01-02 11:50:00",29.9,29.9,100
"2022-01-02 12:59:00",30.2,30.2,100
"2022-01-02 13:55:00",30.4,30.4,100
"2022-01-02 14:56:00",29.5,29.5,100
"2022-01-02 15:55:00",28.9,28.9,100
"2022-01-02 16:53:00",28.0,28.0,100
"2022-01-02 17:53:00",26.5,26.5,100
"2022-01-02 18:57:00",23.6,23.6,100
"2022-01-02 19:52:00",24.2,24.2,100
"2022-01-02 20:57:00",19.0,19.0,100
"2022-01-02 21:52:00",17.3,17.3,100
"2022-01-02 22:52:00",10.0,10.0,100
"2022-01-02 23:50:00",5.0,5.0,100
"2022-01-03 00:52:00",7.4,7.4,100
"2022-01-03 01:52:00",7.5,7.5,100
"2022-01-03 02:50:00",7.0,6.5,78
"2022-01-03 03:50:00",4.0,2.5,57
"2022-01-03 04:50:00",1.5,1.0,74
"2022-01-03 05:50:00",-2.0,-2.5,71
"2022-01-03 06:57:00",-2.0,-2.8,64
"2022-01-03 07:51:00",1.2,0.0,59
"2022-01-03 08:50:00",0.0,-1.5,50
"2022-01-03 09:50:00",-2.1,-3.2,56
"2022-01-03 10:56:00",-1.2,-3.1,39
"2022-01-03 11:54:00",0.1,-2.0,37
"2022-01-03 12:56:00",1.2,-1.0,37
