"","month","year","day_status","avg_wind"
"1",1,1941,"day",31.8010752688172
"2",1,1941,"night",34.3413978494624
"3",1,1942,"day",41.3709677419355
"4",1,1942,"night",44.0645161290323
"5",1,1943,"day",51.2849462365591
"6",1,1943,"night",53.247311827957
"7",1,1944,"day",38.8817204301075
"8",1,1944,"night",38.1881720430108
"9",1,1945,"day",48.9166666666667
"10",1,1945,"night",46.9462365591398
"11",1,1946,"day",53.5944444444444
"12",1,1946,"night",52.3722222222222
"13",1,1947,"day",49.3198924731183
"14",1,1947,"night",48.508064516129
"15",1,1948,"day",41.8494623655914
"16",1,1948,"night",43.5268817204301
"17",1,1949,"day",44.6236559139785
"18",1,1949,"night",46.5806451612903
"19",1,1950,"day",47.4005376344086
"20",1,1950,"night",45.8064516129032
"21",1,1951,"day",43.989247311828
"22",1,1951,"night",46.3682795698925
"23",1,1952,"day",40.1720430107527
"24",1,1952,"night",42.5618279569892
"25",1,1953,"day",38.3279569892473
"26",1,1953,"night",38.0645161290323
"27",1,1954,"day",38.8494623655914
"28",1,1954,"night",38.7634408602151
"29",1,1955,"day",38.0268817204301
"30",1,1955,"night",36.8870967741936
"31",1,1956,"day",28.6801075268817
"32",1,1956,"night",29.6586021505376
"33",1,1957,"day",43.3924731182796
"34",1,1957,"night",44.8602150537634
"35",1,1958,"day",39.989247311828
"36",1,1958,"night",37.9462365591398
"37",1,1959,"day",48.494623655914
"38",1,1959,"night",49.2016129032258
"39",1,1960,"day",46.4032258064516
"40",1,1960,"night",43.1951219512195
"41",1,1961,"day",43.1317204301075
"42",1,1961,"night",43.1236559139785
"43",1,1962,"day",51.752688172043
"44",1,1962,"night",53.2016129032258
"45",1,1963,"day",37.9327956989247
"46",1,1963,"night",39.0349462365591
"47",1,1964,"day",47.9086021505376
"48",1,1964,"night",51.8467741935484
"49",1,1965,"day",43.9166666666667
"50",1,1965,"night",44.1155913978495
"51",1,1966,"day",37.6612903225806
"52",1,1966,"night",38.0994623655914
"53",1,1967,"day",42.9354838709677
"54",1,1967,"night",41.6693548387097
"55",1,1968,"day",39.4247311827957
"56",1,1968,"night",39.502688172043
"57",1,1969,"day",40.1236559139785
"58",1,1969,"night",40.3790322580645
"59",1,1970,"day",44.4811827956989
"60",1,1970,"night",44.8440860215054
"61",1,1971,"day",45.8091397849462
"62",1,1971,"night",46.0134408602151
"63",1,1972,"day",49.7284946236559
"64",1,1972,"night",48.6424731182796
"65",1,1973,"day",52.3897849462366
"66",1,1973,"night",54.6962365591398
"67",1,1974,"day",50.0806451612903
"68",1,1974,"night",50.252688172043
"69",1,1975,"day",43.3655913978495
"70",1,1975,"night",45.6021505376344
"71",1,1976,"day",40.9462365591398
"72",1,1976,"night",41.991935483871
"73",1,1977,"day",45.3602150537634
"74",1,1977,"night",44.8413978494624
"75",1,1978,"day",40.2365591397849
"76",1,1978,"night",43.0268817204301
"77",1,1979,"day",38.9596774193548
"78",1,1979,"night",38.3037634408602
"79",1,1981,"day",41.6612903225806
"80",1,1981,"night",44.8252688172043
"81",1,1982,"day",55.3252688172043
"82",1,1982,"night",53.4462365591398
"83",1,1983,"day",36.3951612903226
"84",1,1983,"night",42.3091397849462
"85",1,1984,"day",35.0430107526882
"86",1,1984,"night",32.9139784946237
"87",1,1985,"day",50.9032258064516
"88",1,1985,"night",51.008064516129
"89",1,1986,"day",53.1774193548387
"90",1,1986,"night",52.0403225806452
"91",1,1987,"day",46.244623655914
"92",1,1987,"night",45.7930107526882
"93",1,1988,"day",50.0537634408602
"94",1,1988,"night",49.1989247311828
"95",1,1989,"day",54.8145161290323
"96",1,1989,"night",53.8790322580645
"97",1,1990,"day",51.7016129032258
"98",1,1990,"night",53.9489247311828
"99",1,1991,"day",46.9354838709677
"100",1,1991,"night",49.5860215053763
"101",1,1992,"day",48.4247311827957
"102",1,1992,"night",49.502688172043
"103",1,1993,"day",46.1881720430108
"104",1,1993,"night",44.0564516129032
"105",1,1994,"day",51.9354838709677
"106",1,1994,"night",48.9704301075269
"107",1,1995,"day",41.8279569892473
"108",1,1995,"night",44.2150537634409
"109",1,1996,"day",44.2016129032258
"110",1,1996,"night",43.0725806451613
