"","tod","trend","p","sig","season"
"1","Day",-0.00613788599558941,0.00485999755325913,"Y","Annual"
"2","Night",-0.00144045122044487,0.563299786559728,"N","Annual"
"3","Day",-0.049587980877785,0.00364639565659741,"Y","Winter"
"4","Night",-0.0332072395016751,0.0108705236944657,"Y","Winter"
"5","Day",-0.0466892698981203,0.000967981395886233,"Y","Spring"
"6","Night",-0.0466130875737951,0.00183654315901452,"Y","Spring"
"7","Day",-0.012813138903406,0.255427378158478,"N","Summer"
"8","Night",-0.011900061585501,0.223469385096203,"N","Summer"
"9","Day",-0.0523023029862163,0.00210205062623307,"Y","Fall"
"10","Night",-0.0469141827164661,0.00446681694852587,"Y","Fall"
